input_text,target_text
断开 | 电气线束 | 右前部 | 转向灯连接器 | 连接,断开电气线束与右前部转向灯连接器的连接。
断开 | 左上部 | 导管热敏电阻 | 驾驶位气波槽 | 连接,断开左上部导管热敏电阻与驾驶位气波槽的连接注1个连接器
拆下 | 夹子 | 松开 | 后部 | 毡毯 | 车身 | 粘扣带,拆下夹子，然后松开将后部毡毯固定到车身的粘扣带。
紧固 | 吸入/液体管 | 超级瓶 | 夹子,紧固将吸入/液体管固定到超级瓶的夹子。
拆下 | 前部 | 中央保险杠碰撞加速计传感器 | 请参阅传感器碰撞加速计前保险杠中间,拆下前部中央保险杠碰撞加速计传感器。请参阅传感器碰撞加速计前保险杠中间。
进行 | 道路测试 | 确认制动踏板触感和刹车性能良好,进行道路测试并确认制动踏板触感和刹车性能良好。
拆卸 | 螺塞 | 连接 | 软管 | 动力总成回路软管 | 动力总成供给软管 | 高压电池回路软管 | 电池至冷却器软管,"拆卸螺塞，重新连接以下软管：动力总成回路软管,动力总成供给软管,高压电池回路软管,电池至冷却器软管"
拆下 | 左前 | 制动软管支架 | 左前 | 万向节 | 螺栓 | 5nm,拆下将左前制动软管支架固定到左前万向节的螺栓。5nm提示：推荐使用以下工具：10毫米套筒回旋头棘轮/回旋头扭矩扳手4英寸加长件
松开 | 天线线束夹,松开天线线束夹。
断开 | 左车身线束连接器 | 被动补充式约束控制模块 | 连接,断开左车身线束连接器与被动补充式约束控制模块的连接。
空调制冷剂回收完成后 | 断开 | 空调软管 | 请参阅回收,空调制冷剂回收完成后，从车上断开空调软管。请参阅回收。
如果高压电池替换件配有高压电池中梁滑板 | 转到第20步,如果高压电池替换件配有高压电池中梁滑板，请转到第20步。
松开 | 闩锁手动分离拉索 | 左后 | 车窗电机/升降器总成 | 夹子,松开将闩锁手动分离拉索固定到左后车窗电机/升降器总成的夹子。
减震塔支架 | 左侧 | 向后滑 | 安装 | 安装 | 减震塔支架 | 车身 | 螺栓 | 67nm | 62nm | 67nm,将减震塔支架的左侧向后滑到其安装位，然后安装将减震塔支架固定到车身的螺栓。67nm62nm67nm
检查 | 滤油器 | 密封件 | 充注塞 | o型环 | 油泵 | o型环 | 确保o型环位于充注塞上 | 3个 | o型环 | 油泵 | 没有o型环卡在前驱动单元总成中 | 如果油泵上的o型环损坏，请安装 | 新o型环 | 如果充注塞上的o型环损坏，请安装新充注塞或o型环 | 如果滤油器已拆下,检查滤油器上的密封件、充注塞上的o型环以及油泵上的o型环。确保o型环位于充注塞上，3个o型环位于油泵上，没有o型环卡在前驱动单元总成中。如果油泵上的o型环损坏，请安装新o型环。如果充注塞上的o型环损坏，请安装新充注塞或o型环。如果滤油器已拆下，检查确认密封件在滤油器上而不在前驱动单元总成上。
后角窗玻璃区域 | 拆下 | 遮蔽胶带,从后角窗玻璃区域拆下遮蔽胶带。
安装 | 快充总成 | 配电盒 | 螺栓 | 螺母 | 拧紧 | 使用 | 油性记号笔 | 标记 | 螺栓 | 螺母 | 5.5nm | 8nm | 座垫固定架 | 安装 | 座椅悬架,安装将快充总成连接到配电盒的螺栓和螺母，拧紧后，使用油性记号笔标记螺栓和螺母。5.5nm8nm将座垫固定架安装到座椅悬架上注2个夹子，可能需要拉紧座垫和饰板，使挂钩正确放置在座椅悬架上
车辆信息 | 输入 | 定位机,将车辆信息输入到定位机中。
安装 | 副驾位遮阳板基座 | 车身 | 螺栓 | 3nm,安装将副驾位遮阳板基座固定到车身的螺栓。3nm图1.左如图所示，右类似
检查 | 左上 | 前翼子板 | 车身 | 区域 | 泡沫密封剂 | 若有 | 则用刀片 | 切割 | 密封剂 | 塑料饰板工具 | 上部 | 翼子板 | 车身 | 分离,检查左上前翼子板和车身之间的区域是否有泡沫密封剂。若有，则用刀片小心地切割密封剂，然后用塑料饰板工具将上部翼子板与车身分离。
充电端口 | 拆下 | 充电电缆,从充电端口上拆下充电电缆。警告请勿尝试在拉释放拉索的同时拆卸充电电缆。务必在尝试从充电端口拆下充电电缆之前拉出释放拉索。
拧紧 | 左剪力板 | 高压电池 | 小号螺栓,用手拧紧将左剪力板固定到高压电池的小号螺栓。注将在本程序的后续步骤中执行螺栓的拧紧操作。
加热之后 | 钻头尖 | 插入 | 充电手柄 | 钻头尖 | 穿入 | 焊接屏蔽前端 | 钻头保持在屏蔽前端至少20秒,小心地将加热之后的钻头尖插入充电手柄，使该钻头尖穿入焊接屏蔽前端。将钻头保持在屏蔽前端至少20秒。警告为避免损坏充电手柄，请勿触及除焊接屏蔽前端之外的任何部位。
拉动 | a柱 | 上部内侧 | 扭动 | 3个 | 系带勾 | 拉出 | 外壳 | 拆下 | 向上拉动 | a柱 | 上部 | 拆下,拉动a柱上部内侧；扭动3个系带勾并拉出外壳，以便将其拆下；然后向上拉动a柱上部，以便将其拆下
拆下 | 八通阀 | 超级歧管 | 紧固件 | 拆下 | 八通阀,拆下将八通阀固定到超级歧管的紧固件，然后从车上拆下八通阀注4个螺钉，t25，5nm
拧紧 | 前副框架 | 后部 | 车身 | 小号螺栓,用手拧紧将前副框架后部固定到车身的小号螺栓。
拆下 | 左前 | 驱动单元支座 | 前驱动单元 | 螺栓 | 前驱动单元 | 拆下 | 支座,拆下将左前驱动单元支座固定到前驱动单元的螺栓，然后从前驱动单元上拆下支座。
在助手的帮助下 | 充电端口线束 | 排布,在助手的帮助下，将充电端口线束排布到位。当充电端口线束在低压电气线束下面穿过时，让助手抓住线束的后部。警告小心地安装充电端口线束，以防损坏线束。
拆下 | 手套箱 | 仪表板支架 | 螺钉,拆下将手套箱固定到仪表板支架的螺钉。注手套箱内侧有一颗螺钉，在下图中看不到。
使用 | 遮蔽胶带 | 前备箱盖总成 | 标记 | 前备箱盖撞销,使用遮蔽胶带在前备箱盖总成上标记前备箱盖撞销的位置。
松开 | 前围篦板 | 车辆 | 夹子 | 拆下 | 前围篦板,松开将前围篦板固定到车辆的夹子，然后从车上拆下前围篦板。
使用 | 10毫米深套筒 | 拆下 | 限位器 | 车门 | 螺母 | 10nm,使用10毫米深套筒拆下将限位器固定到车门的螺母。10nm
拆下 | 高音喇叭 | 支架 | 螺栓 | 拆下 | 喇叭 | 9nm,拆下将高音喇叭固定到支架的螺栓，然后从车上拆下喇叭。9nm北美欧洲、中东和非洲地区
拆下 | 左横拉杆球头 | 万向节 | 螺母 | 万向节 | 拆下 | 横拉杆球头,拆下并弃用将左横拉杆球头固定到万向节的螺母，然后从万向节上拆下横拉杆球头。
检查 | 左平衡杆连杆 | 万向节 | 螺母 | 扭矩 | 油性记号笔 | 螺母 | 标记 | 55nm,检查将左平衡杆连杆固定到万向节的螺母的扭矩，然后用油性记号笔对螺母做标记。55nm提示：推荐使用以下工具：15毫米套筒5毫米六角套筒15毫米回旋头组合棘轮扳手回旋头棘轮/回旋头扭矩扳手
在助手的帮助下 | 拧紧 | 左止推杆 | 万向节 | 螺栓 | 螺母,在助手的帮助下，用手拧紧将左止推杆固定到万向节的螺栓和螺母。
验证 | 冷却液罐 | 底部 | o型环 | 是否正确就位 | o型环 | 涂抹 | 润滑剂,验证冷却液罐底部的o型环是否正确就位，然后向o型环上涂抹润滑剂。
安装 | 后车牌 | 后车牌架 | 螺钉 | 1.2nm,酌情安装将后车牌固定到后车牌架的螺钉。1.2nm
松开 | 夹子 | 断开 | 前驱动单元逆变器 | 热交换器软管 | 前驱动单元热交换器 | 连接 | 塞住 | 热交换器接头 | 软管 | 排空,松开夹子，断开前驱动单元逆变器至热交换器软管与前驱动单元热交换器的连接，塞住热交换器接头，然后让软管排空。注使用可折叠漏斗引导流动。图5.加热泵款model3图6.model3
关上 | 车门 | 推行 | 车辆,部分关上所有车门，准备推行车辆。
车辆左侧 | 执行 | 第40步 | 第41步,在车辆左侧重复执行第40步和第41步。
座垫固定架 | 安装 | 座椅悬架,将座垫固定架安装到座椅悬架上注2个夹子，可能需要拉紧座垫和饰板，使挂钩正确放置在座椅悬架上
安装 | 功率转换系统 | 高压电池 | 六角头螺栓 | 拧紧 | 使用 | 油性记号笔 | 标记 | 18nm,安装将功率转换系统固定到高压电池的六角头螺栓，拧紧后，使用油性记号笔标记这些螺栓。注如果5螺栓功率转换系统支座只有4个螺栓，请安装第5个螺栓。注推荐使用以下工具：绝缘工具：8毫米套筒10英寸加长件棘轮/扭矩扳手6螺栓功率转换系统拧至6nm5螺栓功率转换系统拧至18nm图5.2018年9月11日前制造的车辆6颗螺栓图6.2018年9月11日当天及之后制造的车辆5个螺栓
松开 | 行李箱电动支杆 | 下端 | 车辆 | 夹子 | 拆下 | 电动支杆,松开将行李箱电动支杆下端固定到车辆的夹子，然后从车上拆下电动支杆。
安装 | 驾驶位座椅靠背框架 | 外侧角 | 底部 | 板,安装盖住驾驶位座椅靠背框架外侧角的底部板。注将板拉到金属凸起上以将其固定住。
拧紧 | 右前下部 | 横向连杆 | 前副框架 | 螺栓 | 115nm,拧紧将右前下部横向连杆固定到前副框架的螺栓。115nm
断开 | 左后门电气线束 | b柱外 | 连接器 | 转动 | 90度 | 连接器 | b柱,断开左后门电气线束，然后在b柱外将连接器转动90度，防止连接器掉回b柱内。
挡风玻璃清洗器泵 | 拆下 | 挡风玻璃清洗器软管,从挡风玻璃清洗器泵上拆下挡风玻璃清洗器软管。
安装 | 高压电池前部滑板 | 请参阅滑板高压电池前,安装高压电池前部滑板。请参阅滑板高压电池前。
拆下 | 后部 | 毡毯,从车上拆下后部毡毯。
冷却液罐 | 电气连接器 | 连接 | 冷却器 | 电池软管 | 传感器,在冷却液罐附近，将电气连接器连接到冷却器至电池软管上的传感器。警告将红色锁片按到连接器中以接合锁定机制。切勿向侧面推锁片。
安装前备箱储物单元前 | 超级瓶 | 充注,安装前备箱储物单元前，将超级瓶充注至适当液位。注确保液位比max线高5毫米。
行李箱 | 左侧 | 拆下 | 充电端口支架 | 接地电缆 | 车身 | 螺栓,在行李箱左侧，拆下将充电端口支架和接地电缆固定到车身的螺栓注1个螺栓，10毫米，6nm
安装 | 左前门玻璃 | 请参阅玻璃车门左前,安装左前门玻璃。请参阅玻璃车门左前。
第二排左 | 座椅安全带卷收器 | 安装 | 车身 | 安装 | 一个 | 新螺栓 | 卷收器 | 车身 | 30nm,将第二排左座椅安全带卷收器安装到车身，然后安装一个新螺栓以将此卷收器固定到车身。30nm提示：推荐使用以下工具：13毫米套筒3英寸加长件
座椅安全带锁扣 | 安装 | 座垫框架,将座椅安全带锁扣安装到座垫框架上注1个耐落螺栓，t50，40nm；安装新耐落螺栓
右前 | 饰板区域 | 电气线束 | 连接 | 连接器,在右前饰板区域，将电气线束连接到连接器。
松开 | 后防抱死制动系统车轮转速传感器连接器 | 副框架 | 夹子 | 断开 | 副框架线束 | 连接器 | 连接,松开将后防抱死制动系统车轮转速传感器连接器固定到副框架的夹子，然后断开副框架线束与该连接器的连接。提示：使用机械拾取工具将连接器固定在适当位置，然后用螺丝刀松开连接器夹子。
安装 | 正温度系数加热器 | 右侧 | 供暖、通风和空调总成 | 螺栓 | 2.9nm | 左雨刮器臂 | 软管总成 | 安装 | 车辆,安装将正温度系数加热器右侧固定到供暖、通风和空调总成的螺栓。2.9nm将左雨刮器臂和软管总成安装到车辆上注清洗器软管应布设在雨刮器臂枢轴点的上方，而非下方
空调管 | 连接 | 车辆 | 启动 | 空调真空和泄漏测试,将空调管连接到车辆，然后启动空调真空和泄漏测试。
电气连接器 | 连接 | 充电接口执行机构 | 接合 | 锁片,将电气连接器连接到充电接口执行机构，然后接合锁片。警告将红色锁片按到连接器中以接合锁定机制。切勿向下按或向上拉红色锁片。
安装 | 右脚部空间进气槽 | 请参阅风管脚部空间左,安装右脚部空间进气槽。请参阅风管脚部空间左。
拧紧 | 横梁 | 左和右角 | 车身 | 螺栓,手动拧紧将横梁的左和右角固定到车身的螺栓。
检查 | 滤油器 | 密封件 | 充注塞 | o型环 | 油泵 | o型环 | 确保o型环位于充注塞上 | 3个 | o型环位于 | 油泵 | o型环卡 | 后驱动单元总成 | 如果油泵上的o型环损坏，请安装新o型环 | 如果充注塞上的o型环损坏，请安装新充注塞或o型环,检查滤油器上的密封件、充注塞上的o型环以及油泵上的o型环。确保o型环位于充注塞上，3个o型环位于油泵上，没有o型环卡在后驱动单元总成中。如果油泵上的o型环损坏，请安装新o型环。如果充注塞上的o型环损坏，请安装新充注塞或o型环。
松开 | 前驱动单元线束 | 前驱动单元电机 | 夹子,松开将前驱动单元线束固定到前驱动单元电机的夹子。
松开 | 连接器锁 | 断开 | j2车身电气连接器 | 右车身控制器模块 | 连接,松开连接器锁，然后断开j2车身电气连接器与右车身控制器模块的连接。
断开 | 电气连接器 | 湿度和温度传感器 | 连接,断开电气连接器与湿度和温度传感器的连接。
松开 | 夹子 | 超级瓶 | 右前侧 | 断开 | 散热器出口软管,松开夹子并从超级瓶右前侧断开散热器出口软管。
拆下 | 车门限位器 | b柱 | 螺栓,拆下将车门限位器固定到b柱的螺栓。警告拧松车门限位器的螺栓，让车门能在开启极限范围以外自由摇动。
下压 | 内侧 | 座椅头枕柱 | 左侧 | 材料 | 露出 | 头枕柱 | 驾驶位靠背 | 固定弹簧,下压内侧座椅头枕柱左侧上的材料，露出将头枕柱固定到驾驶位靠背的固定弹簧。
第二排右 | 座椅靠背 | 扶起,将第二排右座椅靠背扶起。
关闭 | 左前 | 车门 | 使用 | 车窗开关专用工具 | 升起 | 左前 | 车窗,关闭左前车门，然后使用车窗开关专用工具完全升起左前车窗。
松开 | 行李箱电气线束 | 行李箱盖 | 夹子,松开将行李箱电气线束固定到行李箱盖的夹子。
如果配有左前轮轮毂盖 | 则将其拆下 | 请参阅盖轮毂,如果配有左前轮轮毂盖，则将其拆下。请参阅盖轮毂。
接地带 | 安装 | 前车身控制器模块 | 右下侧 | 安装 | 接地带 | 模块 | 螺栓 | 9nm,将接地带安装到前车身控制器模块的右下侧，然后安装将接地带固定到该模块的螺栓。9nm
如果直流直通件是一型电缆 | 跳过第15步 | 继续执行下一步,如果直流直通件是一型电缆，则跳过第15步，否则，继续执行下一步。
安装 | 高压电池交流电源插座盖板 | 功率转换系统 | 夹子,安装将高压电池交流电源插座盖板固定到功率转换系统的夹子。
b柱区域 | 松开 | 线束 | 车身 | 夹子,在b柱区域，松开将线束固定到车身的夹子。
锁定 | 除霜格栅 | 夹子,锁定固定除霜格栅的夹子注8个夹子
拆下 | 座椅安全带织带导向器 | b柱 | 螺栓 | b柱 | 拆下 | 导向器,拆下将座椅安全带织带导向器固定到b柱的螺栓，然后从b柱上拆下导向器。提示：推荐使用以下工具：8毫米套筒?英寸标准棘轮?英寸扭矩扳手
断开 | 温度系统横梁电气线束 | 冷却液温度传感器连接器 | 连接,断开温度系统横梁电气线束与冷却液温度传感器连接器的连接。
取下 | 外螺纹接头 | 内螺纹接头 | 螺塞 | 后驱动单元逆变器入口软管 | 连接 | 高压电池 | 左侧 | 紧固 | 夹子,取下外螺纹接头和内螺纹接头的螺塞，将后驱动单元逆变器入口软管连接到高压电池左侧，然后紧固夹子。警告执行推拉测试，以确认软管已完全就位。
安装 | 左和右 | 前车轮 | 请参考轮毂,安装左和右前车轮。请参考轮毂。
打开 | 前车门,打开前车门。
启动 | 测试仪工具 | 顶部 | 校准 | 激光器 | 转动 | 测试仪工具 | 激光器 | 对准 | 前备箱盖 | 两侧 | 支柱底座,启动测试仪工具顶部旁边的校准激光器，然后根据需要转动测试仪工具，将激光器对准前备箱盖的两侧支柱底座。图3.左前备箱盖支柱
杂物盘饰板 | 安装,将杂物盘饰板安装到车上。注向后滑动杂物盘，以便将其安装到车上，然后通过锁片将杂物盘固定到车身上。
拆下 | 右b柱下部饰板 | 请参阅饰板b柱下部左,拆下右b柱下部饰板。请参阅饰板b柱下部左。
使用 | hioki电阻计 | 测量 | 高压电池负极触点开关 | 负极母排 | 高压连接点 | 电阻,使用hioki电阻计测量高压电池负极触点开关与负极母排之间高压连接点的电阻。注最大可接受电阻值为0.060毫欧。如果电阻超过上述值，请根据具体情况升级toolbox会话。图2.一般测量实际的母排和紧固件可能有所不同
电气线束 | 连接 | 前车身控制器模块连接器,将电气线束连接到前车身控制器模块连接器。
高压电池快充触点开关 | 安装 | 绝缘体,将高压电池快充触点开关安装到绝缘体上。注将快充触点开关安装到绝缘体后，调整两处探针的位置。
触摸屏 | 点击 | 控制 | 安全 | 车辆电源 | 关闭电源,在触摸屏上点击控制>安全>车辆电源>关闭电源。
断开 | 左后 | 车轮转速线束,断开左后车轮转速线束注1个连接器；松开锁片，使用机械手固定住副框架线束侧的连接器端部
拆下 | 前平衡杆 | 前副框架 | 螺母 | 拆下 | 平衡杆 | 35nm,拆下并弃用将前平衡杆固定到前副框架的螺母，然后从车上拆下平衡杆。35nm
向前展开 | 右前 | 毡毯 | 安装 | 夹子 | 右前 | 毡毯 | 车身,向前展开右前毡毯，然后安装夹子，以便右前毡毯固定到车身上。
断开 | 前部 | 主线束连接器 | 前车身控制器模块 | 连接,断开前部主线束连接器与前车身控制器模块的连接。
断开 | 转向柱控制模块总成连接器,断开转向柱控制模块总成连接器注1个连接器；拆下连接器上的固定夹，松开连接器，然后从连接器上拆下另一个已损坏的夹子；拆下损坏的固定夹后弃用；原装固定夹为黑色，更换固定夹为橙色
前部 | 线束夹 | 安装 | 车身 | 挡风玻璃清洗器储液罐区域,将前部线束夹安装到车身的挡风玻璃清洗器储液罐区域。
使用 | hioki电阻计 | 测量 | 高压电池正极触点开关 | 高压连接点 | 电阻,使用hioki电阻计测量高压电池正极触点开关和高压电池端子之间高压连接点的电阻。注最大可接受电阻值为0.110毫欧。如果电阻超过上述值，请根据具体情况升级toolbox会话。图1.一般测量实际的母排和紧固件可能有所不同
安装 | 中央显示器外壳 | 触摸屏 | 螺钉 | 3nm,安装将中央显示器外壳固定到触摸屏的螺钉。3nm提示：推荐使用以下工具：torxt30套筒?英寸标准棘轮?英寸扭矩扳手2英寸加长件
拆下 | 空调压缩机高压线束支架 | 空调压缩机 | 紧固件,拆下将空调压缩机高压线束支架固定到空调压缩机的紧固件注1个螺栓，13毫米，9nm安装后饰板扩散器。请参阅扩散器后饰板。
抬高 | 中控台扶手,抬高中控台扶手，以便留出操作空间。
松开 | 前备箱盖锁副执行机构 | 前端支架 | 夹子,松开将前备箱盖锁副执行机构固定到前端支架的夹子。
拆下 | 前副框架总成 | 请参阅副框架总成前,拆下前副框架总成。请参阅副框架总成前。
拆下 | 左后 | 防抱死制动系统车轮转速传感器 | 转向节 | 螺栓,拆下将左后防抱死制动系统车轮转速传感器固定到转向节的螺栓。
围绕着蒸发器管 | 供暖、通风和空调总成 | 安装 | 密封件,围绕着蒸发器管向供暖、通风和空调总成上安装密封件。注即使蒸发器管呈一定角度，密封件也应与供暖、通风和空调总成齐平。
松开 | 电池回路软管 | 车身 | 夹子,松开将电池回路软管固定到车身的夹子。
断开 | 左前 | 支架线束 | 前部 | 线束连接器,断开左前支架线束的前部线束连接器。
连接 | 12v负极端子,连接12v负极端子。
路面照明灯 | 连接 | 左前 | 车门线束,将路面照明灯临时连接到左前车门线束。警告布放电缆，避免其在关闭车门时受损。
使用 | 撑杆 | 前备箱盖总成 | 固定 | 开启的位置,使用撑杆将前备箱盖总成固定在开启的位置。
拆下 | 充电接口线束支架 | 车身 | 螺栓 | c柱 | 移开 | 充电接口线束 | 10nm | 连接 | 12v电源 | 请参阅12v/低压电源,拆下将充电接口线束支架固定到车身的螺栓，然后从c柱上移开充电接口线束。10nm重新连接12v电源。请参阅12v/低压电源。
断开 | 左后 | 车窗电机 | 升降器总成 | 电气线束,断开左后车窗电机/升降器总成上的电气线束。
安装 | 右毡毯定位器支架 | 车辆 | 螺母 | 2.5nm,安装将右毡毯定位器支架固定到车辆的螺母。2.5nm
在助手的帮助下 | 座椅 | 安装 | 车内,在助手的帮助下，将座椅安装到车内。注从侧方抬起座椅，并将扶手朝向车门敞开处，座垫朝向车辆后方。先将扶手穿过车门移入车内，然后移入座垫。转动座椅，让座垫朝上，然后将座椅放置在毡毯上，并将座椅靠背向上旋转至垂直状态。
安装 | 拧紧 | 左后下部 | 尾连杆 | 左后 | 悬架转向节 | 螺栓 | 螺母,安装并用手拧紧将左后下部尾连杆固定到左后悬架转向节的螺栓和螺母。
套管 | 驱动单元 | 推出 | 分离 | 套管拆卸工具 | 驱动单元 | 拆下,在套管已从驱动单元推出后，分离套管拆卸工具，然后将其从驱动单元上拆下。
拆下 | 气囊传感器 | 前端支架 | 螺栓 | 拆下 | 传感器 | 8nm,拆下将气囊传感器固定到前端支架的螺栓，然后从车上拆下传感器。8nm提示：推荐使用以下工具：
毡毯 | 展开 | 安装 | 毡毯 | 车辆 | 夹子,将毡毯展开到原来位置，然后安装将毡毯固定到车辆的夹子。
拆下 | 尾灯 | 车身 | 螺母,拆下将尾灯固定到车身的螺母。提示：推荐使用以下工具：8毫米深12角套筒?英寸标准棘轮?英寸扭矩扳手
散热器出口软管 | 拆下 | 螺塞 | 连接 | 外螺纹接头 | 内螺纹接头 | 扣紧 | 软管夹,从散热器出口软管上拆下螺塞，连接外螺纹接头和内螺纹接头，然后扣紧软管夹。注对接头执行推拉推测试，确保接头牢固。
使用 | 塑料饰板工具 | 前车门面板 | 后边缘 | 松开 | 前车门反光板,使用塑料饰板工具从前车门面板的后边缘松开前车门反光板。警告小心不要损坏车门面板。
仪表板 | 取下 | 大毛巾,从仪表板上取下大毛巾。
安装 | 中央显示屏右支架,安装中央显示屏右支架注2个螺栓，t30，12nm
拆下 | 左行李架扬声器,从车上拆下左行李架扬声器。
戴上 | 防切割手套 | 使用 | 伸缩刀 | 切开 | 下门槛板 | 检修盖,请先戴上防切割手套，然后使用伸缩刀小心切开下门槛板上的检修盖。警告请务必戴上防切割手套执行本步骤，避免受伤。
拆下 | 拖车挂钩跳线线束 | 拖车挂钩总成支架 | 螺栓 | 螺母,拆下将拖车挂钩跳线线束固定到拖车挂钩总成支架的螺栓和螺母。注请注意，螺栓从底部插入。
